bank_name,reporting_date,demand_deposit_rate,savings_deposit_rate,time_deposit_rate
ACCESS BANK,2026-02-06,,,
ALPHA MORGAN BANK,2026-02-06,0.57,8.1,15.0
CITI BANK,2026-02-06,,8.1,18.0
CORONATION MERCHANT BANK,2026-02-06,1.55,8.1,8.59
ECOBANK,2026-02-06,,,15.72
FBN QUEST MERCHANT BANK,2026-02-06,1.1,6.0,10.2
FCMB,2026-02-06,,,8.47
FIDELITY BANK,2026-02-06,0.62,4.25,13.0
FIRST BANK OF NIGERIA,2026-02-06,0.5,8.1,10.0
FSDH MERCHANT BANK,2026-02-06,,8.25,11.05
GLOBUS BANK LTD,2026-02-06,0.5,,18.0
GREENWICH MERCHANT BANK,2026-02-06,0.01,8.18,15.5
GUARANTY TRUST BANK,2026-02-06,14.0,,18.0
KEYSTONE BANK LTD,2026-02-06,1.0,8.1,8.0
NOVA BANK,2026-02-06,0.29,8.1,19.15
OPTIMUS BANK,2026-02-06,,8.0,14.68
PARALLEX BANK,2026-02-06,7.33,8.1,9.04
POLARIS BANK,2026-02-06,,8.1,12.7
PREMIUM TRUST BANK,2026-02-06,,8.1,10.5
PROVIDUS BANK,2026-02-06,,8.1,15.0
RAND MERCHANT BANK NIG. LTD,2026-02-06,2.5,8.1,16.0
SIGNATURE BANK,2026-02-06,0.19,,17.75
STANBIC IBTC,2026-02-06,,8.01,12.6
STANDARD CHARTERED BANK,2026-02-06,0.1,2.7,11.3
STERLING BANK,2026-02-06,,8.1,12.52
SUNTRUST BANK,2026-02-06,0.33,8.1,16.21
TATUM BANK,2026-02-06,,8.1,15.9
UNITED BANK FOR AFRICA,2026-02-06,,8.1,15.32
UNION BANK,2026-02-06,0.04,8.1,14.75
UNITY BANK,2026-02-06,2.5,8.1,14.5
WEMA BANK,2026-02-06,4.5,8.1,10.0
ZENITH BANK,2026-02-06,1.52,8.1,10.73
