bank_name,sector,prime_rate,max_rate,reporting_date
ACCESS BANK,"AGRICULTURE, FORESTRY AND FISHING",,,2026-02-06
ALPHA MORGAN BANK,"AGRICULTURE, FORESTRY AND FISHING",25.5,32.0,2026-02-06
CITI BANK,"AGRICULTURE, FORESTRY AND FISHING",,,2026-02-06
CORONATION MERCHANT BANK,"AGRICULTURE, FORESTRY AND FISHING",19.5,23.0,2026-02-06
ECOBANK,"AGRICULTURE, FORESTRY AND FISHING",24.0,24.0,2026-02-06
FBN QUEST MERCHANT BANK,"AGRICULTURE, FORESTRY AND FISHING",26.75,35.0,2026-02-06
FCMB,"AGRICULTURE, FORESTRY AND FISHING",23.0,23.0,2026-02-06
FIDELITY BANK,"AGRICULTURE, FORESTRY AND FISHING",31.0,46.1,2026-02-06
FIRST BANK OF NIGERIA,"AGRICULTURE, FORESTRY AND FISHING",30.0,36.0,2026-02-06
FSDH MERCHANT BANK,"AGRICULTURE, FORESTRY AND FISHING",26.0,36.0,2026-02-06
GLOBUS BANK LTD,"AGRICULTURE, FORESTRY AND FISHING",26.0,30.0,2026-02-06
GREENWICH MERCHANT BANK,"AGRICULTURE, FORESTRY AND FISHING",31.0,33.0,2026-02-06
GUARANTY TRUST BANK,"AGRICULTURE, FORESTRY AND FISHING",27.0,30.0,2026-02-06
KEYSTONE BANK LTD,"AGRICULTURE, FORESTRY AND FISHING",19.0,29.0,2026-02-06
NOVA BANK,"AGRICULTURE, FORESTRY AND FISHING",30.5,36.0,2026-02-06
OPTIMUS BANK,"AGRICULTURE, FORESTRY AND FISHING",30.0,33.56,2026-02-06
PARALLEX BANK,"AGRICULTURE, FORESTRY AND FISHING",28.5,35.0,2026-02-06
POLARIS BANK,"AGRICULTURE, FORESTRY AND FISHING",30.0,32.5,2026-02-06
PREMIUM TRUST BANK,"AGRICULTURE, FORESTRY AND FISHING",29.0,36.0,2026-02-06
PROVIDUS BANK,"AGRICULTURE, FORESTRY AND FISHING",28.0,33.0,2026-02-06
RAND MERCHANT BANK NIG. LTD,"AGRICULTURE, FORESTRY AND FISHING",27.0,35.0,2026-02-06
SIGNATURE BANK,"AGRICULTURE, FORESTRY AND FISHING",21.5,22.0,2026-02-06
STANBIC IBTC,"AGRICULTURE, FORESTRY AND FISHING",,,2026-02-06
STANDARD CHARTERED BANK,"AGRICULTURE, FORESTRY AND FISHING",1.0,48.0,2026-02-06
STERLING BANK,"AGRICULTURE, FORESTRY AND FISHING",23.0,26.0,2026-02-06
SUNTRUST BANK,"AGRICULTURE, FORESTRY AND FISHING",27.5,35.0,2026-02-06
TATUM BANK,"AGRICULTURE, FORESTRY AND FISHING",22.0,34.0,2026-02-06
UNITED BANK FOR AFRICA,"AGRICULTURE, FORESTRY AND FISHING",,,2026-02-06
UNION BANK,"AGRICULTURE, FORESTRY AND FISHING",28.5,32.0,2026-02-06
UNITY BANK,"AGRICULTURE, FORESTRY AND FISHING",24.0,34.0,2026-02-06
WEMA BANK,"AGRICULTURE, FORESTRY AND FISHING",9.0,38.0,2026-02-06
ZENITH BANK,"AGRICULTURE, FORESTRY AND FISHING",32.5,30.5,2026-02-06
ACCESS BANK,MINING & QUARRYING,,,2026-02-06
ALPHA MORGAN BANK,MINING & QUARRYING,,,2026-02-06
CITI BANK,MINING & QUARRYING,,,2026-02-06
CORONATION MERCHANT BANK,MINING & QUARRYING,19.5,23.0,2026-02-06
ECOBANK,MINING & QUARRYING,9.0,9.0,2026-02-06
FBN QUEST MERCHANT BANK,MINING & QUARRYING,26.75,26.75,2026-02-06
FCMB,MINING & QUARRYING,9.0,9.0,2026-02-06
FIDELITY BANK,MINING & QUARRYING,31.0,,2026-02-06
FIRST BANK OF NIGERIA,MINING & QUARRYING,30.0,36.0,2026-02-06
FSDH MERCHANT BANK,MINING & QUARRYING,,,2026-02-06
GLOBUS BANK LTD,MINING & QUARRYING,,,2026-02-06
GREENWICH MERCHANT BANK,MINING & QUARRYING,31.0,33.0,2026-02-06
GUARANTY TRUST BANK,MINING & QUARRYING,,,2026-02-06
KEYSTONE BANK LTD,MINING & QUARRYING,,,2026-02-06
NOVA BANK,MINING & QUARRYING,30.5,36.0,2026-02-06
OPTIMUS BANK,MINING & QUARRYING,,,2026-02-06
PARALLEX BANK,MINING & QUARRYING,28.5,35.0,2026-02-06
POLARIS BANK,MINING & QUARRYING,30.0,32.5,2026-02-06
PREMIUM TRUST BANK,MINING & QUARRYING,29.0,35.0,2026-02-06
PROVIDUS BANK,MINING & QUARRYING,28.0,,2026-02-06
RAND MERCHANT BANK NIG. LTD,MINING & QUARRYING,27.0,35.0,2026-02-06
SIGNATURE BANK,MINING & QUARRYING,,,2026-02-06
STANBIC IBTC,MINING & QUARRYING,,,2026-02-06
STANDARD CHARTERED BANK,MINING & QUARRYING,,,2026-02-06
STERLING BANK,MINING & QUARRYING,23.0,26.0,2026-02-06
SUNTRUST BANK,MINING & QUARRYING,27.5,35.0,2026-02-06
TATUM BANK,MINING & QUARRYING,,,2026-02-06
UNITED BANK FOR AFRICA,MINING & QUARRYING,,,2026-02-06
UNION BANK,MINING & QUARRYING,28.5,32.0,2026-02-06
UNITY BANK,MINING & QUARRYING,,,2026-02-06
WEMA BANK,MINING & QUARRYING,30.0,38.0,2026-02-06
ZENITH BANK,MINING & QUARRYING,32.5,34.5,2026-02-06
ACCESS BANK,MANUFACTURING,,,2026-02-06
ALPHA MORGAN BANK,MANUFACTURING,25.5,32.0,2026-02-06
CITI BANK,MANUFACTURING,27.0,33.0,2026-02-06
CORONATION MERCHANT BANK,MANUFACTURING,19.5,23.0,2026-02-06
ECOBANK,MANUFACTURING,9.0,35.0,2026-02-06
FBN QUEST MERCHANT BANK,MANUFACTURING,26.75,35.0,2026-02-06
FCMB,MANUFACTURING,7.0,33.0,2026-02-06
FIDELITY BANK,MANUFACTURING,31.0,46.1,2026-02-06
FIRST BANK OF NIGERIA,MANUFACTURING,30.0,36.0,2026-02-06
FSDH MERCHANT BANK,MANUFACTURING,26.0,36.0,2026-02-06
GLOBUS BANK LTD,MANUFACTURING,25.0,29.0,2026-02-06
GREENWICH MERCHANT BANK,MANUFACTURING,31.0,33.0,2026-02-06
GUARANTY TRUST BANK,MANUFACTURING,27.0,30.0,2026-02-06
KEYSTONE BANK LTD,MANUFACTURING,10.0,32.0,2026-02-06
NOVA BANK,MANUFACTURING,30.5,36.0,2026-02-06
OPTIMUS BANK,MANUFACTURING,30.0,17.32,2026-02-06
PARALLEX BANK,MANUFACTURING,28.5,35.0,2026-02-06
POLARIS BANK,MANUFACTURING,30.0,32.5,2026-02-06
PREMIUM TRUST BANK,MANUFACTURING,29.0,36.0,2026-02-06
PROVIDUS BANK,MANUFACTURING,28.0,35.0,2026-02-06
RAND MERCHANT BANK NIG. LTD,MANUFACTURING,27.0,35.0,2026-02-06
